station_name,latitude,longitude,business_name,review_count,rating,categories,price,phone,distance,address
Granville & Georgia,49.282409,-123.118541,The Keg Steakhouse + Bar,,,Restaurant,,,189,688 Dunsmuir St
Granville & Georgia,49.282409,-123.118541,Sephora,,,Cosmetics Store,,,197,701 Georgia St E
Granville & Georgia,49.282409,-123.118541,Cafe Medina,,,Café,,,244,780 Richards St
Granville & Georgia,49.282409,-123.118541,Commodore Ballroom,,,Music Venue,,,265,838 Granville St
Granville & Georgia,49.282409,-123.118541,Kokoro Tokyo Mazesoba,,,Ramen Restaurant,,,268,551 Seymour St
Granville & Georgia,49.282409,-123.118541,Louis Vuitton,,,Leather Goods Store,,,253,737 Dunsmuir St
Granville & Georgia,49.282409,-123.118541,The Orpheum,,,Music Venue,,,282,601 Smithe St
Pender & Burrard,49.287097,-123.118551,Koffie,,,Café,,,71,1050 Pender St W
Pender & Burrard,49.287097,-123.118551,Botanist,,,Restaurant,,,185,1038 Canada Pl
Pender & Burrard,49.287097,-123.118551,Cactus Club Cafe Bentall 5,,,American Restaurant,,,175,588 Burrard St
Pender & Burrard,49.287097,-123.118551,The Vancouver Club,,,Structure,,,212,915 Hastings St W
Pender & Burrard,49.287097,-123.118551,Scotiabank,,,Movie Theater,,,257,200 Burrard St
Pender & Burrard,49.287097,-123.118551,Cactus Club Cafe,,,American Restaurant,,,280,1085 Canada Pl
Pender & Burrard,49.287097,-123.118551,Jack Poole Plaza,,,Plaza,,,292,Vancouver Convention Ctr
Pender & Burrard,49.287097,-123.118551,Breka Bakery & Café,,,Bakery,,,320,740 Hastings St W
Pender & Burrard,49.287097,-123.118551,Tap & Barrel,,,Bar,,,330,1055 Canada Pl
Pender & Burrard,49.287097,-123.118551,49th Parallel Café & Lucky's Doughnuts - THURLOW,,,Dining and Drinking,,,338,689 Thurlow St
Marinaside & Davie,49.273471,-123.118016,OEB Breakfast Co,,,Dining and Drinking,,,102,1137 Marinaside Cres
Marinaside & Davie,49.273471,-123.118016,Provence Marinaside,,,French Restaurant,,,108,1177 Marinaside Cres
Marinaside & Davie,49.273471,-123.118016,La Terrazza,,,Italian Restaurant,,,167,1088 Cambie St
Marinaside & Davie,49.273471,-123.118016,Minami Restaurant,,,Sushi Restaurant,,,283,1118 Mainland St
Marinaside & Davie,49.273471,-123.118016,Cooper's Park,,,Dog Park,,,285,1020 Marinaside Cres
Marinaside & Davie,49.273471,-123.118016,Angus T,,,Bakery,,,298,1036 Mainland St
Marinaside & Davie,49.273471,-123.118016,Mister,,,Ice Cream Parlor,,,312,1141 Mainland St
Marinaside & Davie,49.273471,-123.118016,Roundhouse Community Arts & Recreation Centre,,,Community Center,,,278,181 Roundhouse Mews
Marinaside & Davie,49.273471,-123.118016,MeeT in Yaletown,,,Vegan and Vegetarian Restaurant,,,319,1165 Mainland St
Marinaside & Davie,49.273471,-123.118016,The Flying Pig Yaletown,,,Restaurant,,,346,1168 Hamilton St
Robson & Hornby,49.282758,-123.122092,Lululemon Athletica,,,Clothing Store,,,56,1148 Robson St
Robson & Hornby,49.282758,-123.122092,Vancouver Art Gallery,,,Art Gallery,,,108,750 Hornby St
Robson & Hornby,49.282758,-123.122092,Rocky Mountain Chocolate Factory,,,Candy Store,,,125,1017 Robson St
Robson & Hornby,49.282758,-123.122092,JOEY Burrard,,,New American Restaurant,,,102,820 Burrard St
Robson & Hornby,49.282758,-123.122092,Boulevard Kitchen & Oyster Bar,,,French Restaurant,,,133,845 Burrard St
Robson & Hornby,49.282758,-123.122092,Indigo - Robson,,,Bookstore,,,173,1033 Robson St
Robson & Hornby,49.282758,-123.122092,Robson Square,,,Plaza,,,187,800 Robson St
Robson & Hornby,49.282758,-123.122092,Hawksworth Restaurant,,,Restaurant,,,223,801 Georgia St W
Robson & Hornby,49.282758,-123.122092,Le Crocodile Restaurant,,,French Restaurant,,,228,100A90 Burrard St
Robson & Hornby,49.282758,-123.122092,Thierry,,,Dessert Shop,,,226,1059 Alberni St
Hornby & Pender,49.28602,-123.116624,The Vancouver Club,,,Structure,,,126,915 Hastings St W
Hornby & Pender,49.28602,-123.116624,Breka Bakery & Café,,,Bakery,,,144,740 Hastings St W
Hornby & Pender,49.28602,-123.116624,Cactus Club Cafe Bentall 5,,,American Restaurant,,,169,588 Burrard St
Hornby & Pender,49.28602,-123.116624,Louis Vuitton,,,Leather Goods Store,,,203,737 Dunsmuir St
Hornby & Pender,49.28602,-123.116624,Sephora,,,Cosmetics Store,,,231,701 Georgia St E
Hornby & Pender,49.28602,-123.116624,Scotiabank,,,Movie Theater,,,217,200 Burrard St
Hornby & Pender,49.28602,-123.116624,Botanist,,,Restaurant,,,242,1038 Canada Pl
Hornby & Pender,49.28602,-123.116624,Koffie,,,Café,,,238,1050 Pender St W
Hornby & Pender,49.28602,-123.116624,The Keg Steakhouse + Bar,,,Restaurant,,,286,688 Dunsmuir St
Hornby & Pender,49.28602,-123.116624,Kokoro Tokyo Mazesoba,,,Ramen Restaurant,,,309,551 Seymour St
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Vancouver Public Library,,,Library,,,66,350 Georgia St W
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Cafe Medina,,,Café,,,95,780 Richards St
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,JJ Bean,,,Coffee Shop,,,110,740 Hamilton St
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Fanny Bay Oyster Bar & Shellfish Market,,,Seafood Restaurant,,,199,762 Cambie St
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Homer St. Cafe and Bar,,,Restaurant,,,202,898 Homer St
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Queen Elizabeth Theatre,,,Music Venue,,,265,600 Block Hamilton St
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,The Orpheum,,,Music Venue,,,287,601 Smithe St
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,White Spot Dunsmuir,,,Dining and Drinking,,,317,405 Dunsmuir St
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Commodore Ballroom,,,Music Venue,,,344,838 Granville St
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,Pizza Garden,,,Pizzeria,,,346,675 Smithe St
Beatty & Nelson,49.275679,-123.116963,La Terrazza,,,Italian Restaurant,,,160,1088 Cambie St
Beatty & Nelson,49.275679,-123.116963,Tacofino,,,Taco Restaurant,,,216,1025 Mainland St
Beatty & Nelson,49.275679,-123.116963,Angus T,,,Bakery,,,212,1036 Mainland St
Beatty & Nelson,49.275679,-123.116963,The Keg Steakhouse + Bar - Yaletown,,,Restaurant,,,214,1011 Mainland St
Beatty & Nelson,49.275679,-123.116963,Minami Restaurant,,,Sushi Restaurant,,,281,1118 Mainland St
Beatty & Nelson,49.275679,-123.116963,Blue Water Cafe + Raw Bar,,,Seafood Restaurant,,,304,1095 Hamilton St
Beatty & Nelson,49.275679,-123.116963,OEB Breakfast Co,,,Dining and Drinking,,,311,1137 Marinaside Cres
Beatty & Nelson,49.275679,-123.116963,Cooper's Park,,,Dog Park,,,321,1020 Marinaside Cres
Beatty & Nelson,49.275679,-123.116963,Honey Salt,,,Restaurant,,,304,39 Smithe St
Beatty & Nelson,49.275679,-123.116963,Small Victory Bakery,,,Bakery,,,324,1088 Homer St
Abbott & Cordova,49.282759,-123.106955,Tacofino,,,Taco Restaurant,,,150,15 Cordova St W
Abbott & Cordova,49.282759,-123.106955,MeeT in Gastown,,,Vegan and Vegetarian Restaurant,,,163,12 Water St
Abbott & Cordova,49.282759,-123.106955,Meat & Bread,,,Bakery,,,173,370 Cambie St
Abbott & Cordova,49.282759,-123.106955,Pourhouse Restaurant,,,Restaurant,,,182,162 Water St
Abbott & Cordova,49.282759,-123.106955,Revolver,,,Café,,,190,325 Cambie St
Abbott & Cordova,49.282759,-123.106955,John Fluevog Boots & Shoes Ltd,,,Shoe Store,,,157,65 Water St
Abbott & Cordova,49.282759,-123.106955,Nelson the Seagull,,,Bakery,,,185,315 Carrall St
Abbott & Cordova,49.282759,-123.106955,The Old Spaghetti Factory,,,Italian Restaurant,,,168,53 Water St
Abbott & Cordova,49.282759,-123.106955,Timbertrain Coffee Roasters,,,Coffee Shop,,,195,311W Cordova St W
Abbott & Cordova,49.282759,-123.106955,Nuba,,,Lebanese Restaurant,,,191,207B W Hastings St
Comox & Denman,49.288444,-123.139203,Brandon & Joanny's NOFRILLS Vancouver,,,Grocery Store,,,13,1030 Denman St
Comox & Denman,49.288444,-123.139203,Banana Leaf,,,Malay Restaurant,,,55,1096 Denman St
Comox & Denman,49.288444,-123.139203,Dollarama,,,Discount Store,,,24,1779 Comox St
Comox & Denman,49.288444,-123.139203,Delany's Coffee House,,,Coffee Shop,,,94,1105 Denman St
Comox & Denman,49.288444,-123.139203,Peaked Pies,,,Australian Restaurant,,,142,975 Denman St
Comox & Denman,49.288444,-123.139203,A-maze-ing Laughter,,,Sculpture Garden,,,196,1800 Morton Ave
Comox & Denman,49.288444,-123.139203,Starbucks,,,Coffee Shop,,,215,1795 Davie St
Comox & Denman,49.288444,-123.139203,Eye Kandee Lingerie,,,Clothing Store,,,265,1685 Davie St
Comox & Denman,49.288444,-123.139203,Sylvia's Bar,,,Bar,,,247,1154 Gilford St
Comox & Denman,49.288444,-123.139203,Kingyo Izakaya 金魚居酒屋,,,Sushi Restaurant,,,293,871 Denman St
Cordova & Bute,49.289124,-123.12196,Harbour Green Park,,,Park,,,30,1187A1 W Cordova St
Cordova & Bute,49.289124,-123.12196,Coal Harbour Seawall,,,Waterfront,,,265,W Cordova St
Cordova & Bute,49.289124,-123.12196,Cactus Club Cafe,,,American Restaurant,,,288,1085 Canada Pl
Cordova & Bute,49.289124,-123.12196,Koffie,,,Café,,,291,1050 Pender St W
Cordova & Bute,49.289124,-123.12196,Jack Poole Plaza,,,Plaza,,,320,Vancouver Convention Ctr
Cordova & Bute,49.289124,-123.12196,49th Parallel Café & Lucky's Doughnuts - THURLOW,,,Dining and Drinking,,,348,689 Thurlow St
Cordova & Bute,49.289124,-123.12196,Tap & Barrel,,,Bar,,,373,1055 Canada Pl
Cordova & Bute,49.289124,-123.12196,Botanist,,,Restaurant,,,399,1038 Canada Pl
Cordova & Bute,49.289124,-123.12196,BC Liquor Store,,,Beer Store,,,420,768 Bute St
Cordova & Bute,49.289124,-123.12196,Muji 無印良品,,,Miscellaneous Store,,,482,1125 Robson St
Hornby & Nelson,49.28062,-123.12482,Pallet Coffee Roasters,,,Coffee Shop,,,110,980 Howe St
Hornby & Nelson,49.28062,-123.12482,Le Crocodile Restaurant,,,French Restaurant,,,219,100A90 Burrard St
Hornby & Nelson,49.28062,-123.12482,MarketPlace IGA,,,Grocery Store,,,177,909 Burrard St
Hornby & Nelson,49.28062,-123.12482,The Templeton,,,Bistro,,,238,1087 Granville St
Hornby & Nelson,49.28062,-123.12482,Pacific Cinematheque Pacifique,,,Indie Movie Theater,,,251,1131 Howe St
Hornby & Nelson,49.28062,-123.12482,Commodore Ballroom,,,Music Venue,,,288,838 Granville St
Hornby & Nelson,49.28062,-123.12482,The Pawn Shop,,,Taco Restaurant,,,281,1117 Granville St
Hornby & Nelson,49.28062,-123.12482,Boulevard Kitchen & Oyster Bar,,,French Restaurant,,,275,845 Burrard St
Hornby & Nelson,49.28062,-123.12482,JOEY Burrard,,,New American Restaurant,,,267,820 Burrard St
Hornby & Nelson,49.28062,-123.12482,Pizza Garden,,,Pizzeria,,,282,675 Smithe St
Helmcken & Burrard,49.279938,-123.127478,Sushi Mugen,,,Sushi Restaurant,,,151,903 Davie St
Helmcken & Burrard,49.279938,-123.127478,Breka Bakery & Cafe,,,Bakery,,,171,855 Davie St
Helmcken & Burrard,49.279938,-123.127478,Pacific Cinematheque Pacifique,,,Indie Movie Theater,,,175,1131 Howe St
Helmcken & Burrard,49.279938,-123.127478,Firecrust,,,Pizzeria,,,235,808 Davie St
Helmcken & Burrard,49.279938,-123.127478,Nando's,,,American Restaurant,,,230,828 Davie St
Helmcken & Burrard,49.279938,-123.127478,Pallet Coffee Roasters,,,Coffee Shop,,,267,980 Howe St
Helmcken & Burrard,49.279938,-123.127478,The Pawn Shop,,,Taco Restaurant,,,272,1117 Granville St
Helmcken & Burrard,49.279938,-123.127478,The Templeton,,,Bistro,,,275,1087 Granville St
Helmcken & Burrard,49.279938,-123.127478,Le Crocodile Restaurant,,,French Restaurant,,,335,100A90 Burrard St
Helmcken & Burrard,49.279938,-123.127478,Samurai Japanese Restaurant,,,Sushi Restaurant,,,313,1108 Davie St
Pacific & Richards,49.273663,-123.127075,Matchstick Coffee Roasters,,,Café,,,102,1328 Richards St
