station_name,latitude,longitude,business_name,review_count,rating,categories,price,phone,distance,address,source
Ontario & Seawall,49.271721,-123.104207,Mountain Equipment Co-Op,,,Outdoor Supply Store,,,303.0,111 2nd Ave E,FourSquare
Ontario & Seawall,49.271721,-123.104207,Nook,,,Italian Restaurant,,,441.0,195 2nd Ave W,FourSquare
Canada Place,49.287214,-123.11287,Miku,,,Sushi Restaurant,,,69.0,200 Granville St,FourSquare
Canada Place,49.287214,-123.11287,Scotiabank,,,Movie Theater,,,172.0,200 Burrard St,FourSquare
Canada Place,49.287214,-123.11287,The Vancouver Club,,,Structure,,,202.0,915 Hastings St W,FourSquare
Canada Place,49.287214,-123.11287,Breka Bakery & Café,,,Bakery,,,216.0,740 Hastings St W,FourSquare
Canada Place,49.287214,-123.11287,FlyOver Canada,,,Arts and Entertainment,,,259.0,999 Canada Pl Way,FourSquare
Canada Place,49.287214,-123.11287,Botanist,,,Restaurant,,,293.0,1038 Canada Pl,FourSquare
Canada Place,49.287214,-123.11287,Steamworks Brewing Co,,,Bar,,,288.0,375 Water St,FourSquare
Canada Place,49.287214,-123.11287,Coal Harbour Gifts,,,Gift Store,,,313.0,555 Hastings St W,FourSquare
Canada Place,49.287214,-123.11287,Vancouver Lookout,,,Scenic Lookout,,,301.0,555 Hastings St W,FourSquare
Canada Place,49.287214,-123.11287,Gastown Steam Clock,,,Monument,,,414.0,305 Water St,FourSquare
Granville & Georgia,49.282409,-123.118541,Robson Square,,,Plaza,,,87.0,800 Robson St,FourSquare
Granville & Georgia,49.282409,-123.118541,Hawksworth Restaurant,,,Restaurant,,,111.0,801 Georgia St W,FourSquare
Granville & Georgia,49.282409,-123.118541,Vancouver Art Gallery,,,Art Gallery,,,165.0,750 Hornby St,FourSquare
Granville & Georgia,49.282409,-123.118541,The Keg Steakhouse + Bar,,,Restaurant,,,189.0,688 Dunsmuir St,FourSquare
Granville & Georgia,49.282409,-123.118541,Sephora,,,Cosmetics Store,,,197.0,701 Georgia St E,FourSquare
Granville & Georgia,49.282409,-123.118541,Cafe Medina,,,Café,,,244.0,780 Richards St,FourSquare
